Words;Status
scalar and excess dislocation density;Term
scanning electron microscopy;Term
scanning tunneling microscopy;Term
SCC;Abb
scuffing;Term
self-healing materials;Term
SEM;Abb
semiconductors;Term
shape memory alloys;Term
SiC;Abb
silica aerogels;Term
silicon carbide (sic) semiconductors;Term
sintering;Term
SLA;Abb
sliding wear;Term
slip systems;Term
SMAs;Abb
sol-gel process;Term
solid carbide m6c;Term
solid lubricant;Term
solid solution strengthening;Term
solid-state welding;Term
spark plasma sintering;Term
spectroscopy;Term
spherical carbides;Term
Spikes;Named Entity
spinodal decomposition;Term
SPS;Abb
sputtering;Term
stainless steels;Term
stereolithography;Term
STM;Abb
stress corrosion cracking;Term
Stribeck Curve;Named Entity
structural restructuring;Term
structural-phase states;Term
supercapacitor materials;Term
superconducting materials;Term
superplasticity;Term
surface fatigue;Term
surface irradiation;Term
surface modification;Term
surface plasmon resonance;Term
surface roughness;Term
surface roughness measurement;Term
surface tension;Term
suspension polymerization;Term
TBCs;Abb
TCOs;Abb
TEM;Abb
tempered martensite;Term
tensile testing;Term
TGA;Abb
thermal barrier coatings;Term
thermal conductivity;Term
thermal expansion;Term
thermal interface materials;Term
thermal loads;Term
thermo-mechanical treatment;Term
thermoelectric materials;Term
thermogravimetric analysis;Term
thermomechanical processing;Term
thin film deposition;Term
TIMs;Abb
titanium alloys;Term
TMT;Abb
toughness;Term
transmission electron microscopy;Term
transparent conductive oxides;Term
tribochemistry;Term
tribological;Term
tribology;Term
tungsten surface erosion;Term
tungsten-molybdenum steels;Term
Tysoe;Named Entity
UHTCs;Abb
ultrahigh temperature ceramics;Term
ultrasonic testing;Term
vacuum brazing;Term
Vakis;Named Entity
vapor phase epitaxy;Term
vickers hardness test;Term
Vijay.V;Named Entity
viscoelasticity;Term
viscosity;Term
VPE;Abb
wear;Term
welding metallurgy;Term
wetting angle;Term
wide bandgap semiconductors;Term
Wojciechowski;Named Entity
x-ray diffraction;Term
x-ray diffraction (xrd) analysis;Term
x-ray photoelectron spectroscopy;Term
XPS;Abb
XRD;Abb
yield strength;Term
zirconium alloys;Term
